NAME,MEANING
sonorous,resonant
spectral,ghostly
subaltern,subordinate
sultry,sweltering
surmount,overcome
surpass,exceed
surrogate,substitute
swindler,cheat
talisman,charm
taper,candle
tepid,lukewarm
tertiary,third
therapeutic,curative
throttle,strangle
titillate,tickle
turncoat,traitor
turpitude,depravity
unassuming,modest
unbridled,violent
underscore,emphasize
unerringly,infallibly
unfaltering,steadfast
unfledged,immature
unguent,ointment
uninhibited,unrepressed
unintimidating,unfrightening
unprepossessing,unattractive
unscathed,unharmed
unsightly,ugly
unsullied,untarnished
unwonted,unaccustomed
upshot,outcome
valor,bravery
velocity,speed
vendor,seller
ventral,abdominal
venturesome,bold
venue,location
viand,food
victuals,food
virile,manly
voracious,ravenous
wastrel,profligate
wreak,inflict
approbation,approval
demented,insane
cogent,convincing
contrite,penitent
enervate,weaken
fledgling,inexperienced
indigence,poverty
indolent,lazy
laud,praise
loquacious,talkative
magnanimity,generosity
refute,disprove
resolution,determination
veracious,truthful
verbose,wordy
accoutre,equip
adept,expert
adorn,decorate
anomaly,irregularity
anthropoid,manlike
bellicose,warlike
belligerent,quarrelsome
blunder,error
cadaver,corpse
cathartic,purgative
cessation,stoppage
circuitous,roundabout
clamor,noise
cleft,split
consummate,complete
coquette,flirt
demolition,destruction
demoniac,fiendish
disclose,reveal
disperse,scatter
dissent,disagree
domicile,home
exhort,urge
frail,weak
garnish,decorate
gory,bloody
gratis,free
gravity,seriousness
histrionic,theatrical
hue and cry,outcry
improvident,thriftless
incendiary,arsonist
incompatible,inharmonious
indict,charge
inequity,unfairness
insurgent,rebellious
inter,bury
intimidate,frighten
lampoon,ridicule
litigation,lawsuit
loathe,detest
maternal,motherly
mendicant,beggar
muse,ponder
nomadic,wandering
parley,conference
penitent,repentant
pillage,plunder
pinion,restrain
prattle,babble
quip,taunt
renown,fame
rote,repetition
secession,withdrawal
sedulous,diligent
sham,pretend
slothful,lazy
surmise,guess
termination,end
throng,crowd
titanic,gigantic
toxic,poisonous
transcribe,copy
tryst,meeting
veracity,truthfulness
vertex,summit
vilify,slander
abate,subside or moderate
aberrant,abnormal or deviant
abeyance,suspended action
abscond,depart secretly and hide
abstemious,sparing in eating and drinking; temperate
admonish,warn; reprove
adulterate,make impure by adding inferior or tainted substances
aesthetic,artistic; dealing with or capable of appreciating the beautiful
aggregate,gather; accumulate
alacrity,cheerful promptness; eagerness
amalgamate,combine; unite into one body
ambiguous,unclear or doubtful in meaning
ambivalence,the state of having contradictory or conflicting emotional attitudes
anachronism,something or someone misplaced in time
anarchy,absence of governing body; state of disorder
anomalous,abnormal, irregular
antipathy,aversion; dislike
apathy,lack of caring; indifference
appease,pacify or soothe; relieve
appropriate,acquire; take posession of for one's own use
arduous,hard; strenuous
artless,without guile; open and honest
ascetic,practicing self-denial; austere
assuage,ease or lessen (pain); satisfy (hunger); soothe (anger)
attenuate,make thinner; weaken or lessen (in density, force, degree)
audacious,daring; bold
austere,forbiddingly stern; severely simple and unornamented
autonomous,self-governing
aver,assert confidently or declare; as used in law, state formally as a fact
banal,hackneyed; commonplace; trite; lacking originality
belie,contradict; giving a false impression
beneficent,kindly; doing good
bolster,support; reinforce
bombastic,pompous; using inflated language
boorish,rude; insensitive
burgeon,growing forth; send out buds
burnish,make shiny by rubbing; polish
buttress,support; prop up
cacophonous,discordant; inharmonious
capricious,unpredictable; fickle
castigation,punishment; severe criticism
catalyst,agent that influences the pace of a chemical reaction while it remains unaffected and unchanged; person or thing that causes action
caustic,burning; sarcastically biting
chicanery,trickery; deception
coagulate,thicken; congeal; clot
coda,concluding section of a musical or literary composition; something that rounds out, summarizes, or concludes
commensurate,corresponding in extent, degree, amount, etc.; proportionate
compendium,brief, comprehensive summary
complaisant,trying to please; polite; obliging
compliant,yielding; conforming to requirements
conciliatory,soothing; reconciling
condone,overlook; forgive; give tacit approval; excuse
confound,confuse; puzzle
connoisseur,person competent to act as a judge of art, etc.; a lover of an art
contention,claim; thesis; assertion
conundrum,riddle; difficult problem
converge,approach; tend to meet; come together
convoluted,coiled around; involved; intricate
daunt,intimidate; frighten
decorum,propriety; orderliness and good taste in manners
default,failure to act
deference,courteous regard for another's wish
delineate,portrait; depict; sketch
deride,ridicule; make fun of
derivative,unoriginal; obtained from another source
desiccate,dry up
desultory,aimless; haphazard; digressing at random
deterrent,something that discourages; hindrance
diatribe,bitter scolding; invective
dichotomy,split; branching into two parts (esp. contradictory ones)
diffuse,wordy; rambling; spread out (like a gas)
digression,wandering away from the subject
dirge,lament with music
disabuse,correct a false impression; undeceive
discerning,mentally quick and observant; having insight
discordant,not harmonious; conflicting
discredit,defame; destroy confidence in; disbelieve
discrepancy,lack of consistency; difference
discrete,separate; unconnected; consisted of distinct parts
disingenuous,lacking genuine candor; insincere
disjointed,lacking coherence; separated at the joints
dismiss,eliminate from consideration; reject
disparate,basically different; unrelated
dissemble,disguise; pretend
disseminate,distribute; spread; scatter (like seeds)
dissolution,disintegration; looseness in morals
dissonance,discord; opposite of harmony
distend,expand; swell out
distill,purify; refine; concentrate
diverge,vary; go in different directions from the same point
divest,strip; deprive
document,provide written evidence
dogmatic,opinionated; arbitrary; doctrinal
dormant,sleeping; lethargic; latent
dupe,someone easily fooled
ebullient,showing excitement; overflowing with enthusiasm
eclectic,selective; composed of elements drawn from disparate sources
efficacy,power to produce desired effect
effrontery,impudence; shameless boldness; sheer nerve; presumptuousness
elegy,poem or song expressing lamentation
elicit,draw out by discussion
embellish,adorn; ornament; enhance, as a story
empirical,based on experience
emulate,imitate, rival
endemic,prevailing among a specific group of people or in a specific area or country
engender,cause; produce
enhance,increase; improve
ephemeral,short-lived; fleeting
equanimity,calmness of temperament; composure
equivocate,lie; mislead; attempt to conceal the truth
erudite,learned; scholarly
esoteric,hard to understand; known only to the chosen few
eulogy,expression of praise, often on the occasion of someone's death
euphemism,mild expression in place of an unpleasant one
exacerbate,worsen; embitter
exculpate,clear from blame
exigency,urgent situation; pressing needs or demands; state of requiring immediate attention
extrapolation,projection; conjecture
facetious,joking (often inappropriately); humorous
facilitate,help bring about; make less difficult
fallacious,false; misleading
fatuous,brainless; inane; foolish, yet smug
fawning,trying to please by behaving obsequiously, flattering, or cringing
felicitous,apt; suitably expressed; well chosen
flag,droop; grow feeble
flout,reject; mock; show contempt for
foment,stir up; instigate
forestall,prevent by taking action in advance
frugality,thrift; economy
futile,useless; hopeless; ineffectual
garrulous,loquacious; wordy; talkative
goad,urge on
gouge,tear out; overcharge
grandiloquent,pompous; bombastic; using high-sounding language
guileless,without deceit
gullible,easily deceived
harangue,long, passinate, and vehement speech
homogeneous,of the same kind
hyperbole,exaggeration; overstatement
iconoclastic,attacking cherished traditions
idolatry,worship of idols; excessive admiration
impair,injure; hurt
impassive,without feeling; imperturbable; stoical
impede,hinder; block
impermeable,impervious; not permitting passage through its substance
imperturbable,calm; placid
impervious,impenetrable; incapable of being damaged or distressed
implacable,incapable of being pacified
implicit,understood but not stated
implode,burst inward
inadvertently,unintentionally; by oversight; carelessly
inchoate,recently begun; rudimentary; elementary
incongruity,lack of harmony; absurdity
inconsequential,insignificant; unimportant
incorporate,introduce something to a larger whole; combine; unite
indeterminate,uncertain; not clearly fixed; indefinite
inert,inactive; lacking power to move
ingenuous,naive and trusting; young; unsophisticated
inherent,firmly established by nature or habit
insensible,unconscious; unresponsive
insinuate,hint; imply; creep in
insipid,lacking in flavor; dull
insularity,narrow-mindedness; isolation
intractable,unruly; stubborn; unyielding
intransigence,refusal of any compromise; stubbornness
inundate,overwhelm; flood; submerge
inured,accustomed; hardened
irascible,irritable; easily angered
irresolute,uncertain how to act; weak
laconic,brief and to the point
lassitude,languor; weariness
latent,potential but undeveloped; dormant; hidden
lethargic,drowsy; dull
levee,earthen or stone embankment to prevent flooding
levity,lack of seriousness of steadiness; frivolity
log,record of a voyage or flight; record of day-to-day activities
lucid,easily understood; clear; intelligible
luminous,shining; issuing light
malingerer,one who feigns illness to escape duty
malleable,capable of being shaped by pounding; impressionable
maverick,rebel; nonconformist
mendacious,lying; habitually dishonest
metamorphosis,change of form
meticulous,excessively careful; painstaking; scrupulous
misanthrope,one who hates mankind
mitigate,lessen in intensity; moderate; appease
morose,ill-humored; sullen; melancholy
mundane,worldly as opposed to spiritual; everyday
negate,cancel out; nullify
neophyte,recent convert; beginner
obsequious,slavishly attentive; servile; sycophantic
obviate,make unnecessary; get rid of
occlude,shut; close
officious,meddlesome; excessively pushy in offering one's services
opprobrium,infamy; vilification
oscillate,vibrate pendulumlike; waver
ostentatious,showy; pretentious; trying to attract attention
paragon,model of perfection
partisan,one-sided; prejudiced; committed to a party
pathological,pertaining to disease
pedantic,showing off learning; bookish
penchant,strong inclination; liking
penury,severe poverty; indigence; stinginess
perennial,something long lasting
perfidious,treacherous; disloyal
perfunctory,superficial; not thorough; lacking interest, care, or enthusiasm
permeable,penetrable; porous; allowing liquids or gas to pass through
pervasive,spread throghout
phlegmatic,calm; not easily disturbed
piety,devoutness; reverence for God
placate,pacify; conciliate
plasticity,ability to be molded
platitude,trite remark; commonplace statement
plethora,excess; overabundance
plummet,fall sharply
porous,full of pores; like a sieve
pragmatic,practical (as opposed to idealistic); concerned with the practical worth or impact of something
preamble,introductory statement
precarious,uncertain; risky
precipitate,rash; premature; hasty; sudden
presumptuous,arrogant; taking liberties
pristine,characteristic of earlier times; primitive, unspoiled
probity,uprightness; incorruptibility
problematic,doubtful; unsettled; questionable; perplexing
prodigal,wasteful; reckless with money
profound,deep; not superficial; complete
prohibitive,tending to prevent the purchase or use of something; inclined to prevent or forbid
proliferate,grow rapidly; spread; multiply
propensity,natural inclination
propriety,fitness; correct conduct
proscribe,banish; ostracize; outlaw
pungent,stinging; sharp in taste or smell; caustic
qualified,limited; restricted
quibble,minor objection or complaint
quiescent,at rest; dormant; temporarily inactive
rarefied,made less dense [of a gas]
recalcitrant,obstinately stubborn; determined to resist authority; unruly
recant,disclaim or disavow; retract a previous statement; openly confess error
recluse,hermit; loner
recondite,abstruse; profound; secret
refractory,stubborn; unmanageable
relegate,banish to an inferior position; delegate; assign
reproach,express disapproval or disappointment
reprobate,person hardened in sin, devoid of sense of decency
repudiate,disown; disavow
resolve,determination; firmness of purpose
reticent,reserved; uncommunicative; inclined to silence
reverent,respectful; worshipful
sage,person celebrated for wisdom
sanction,ratify; approve
satiate,satisfy fully
saturate,soak thoroughly
savor,enjoy; have a distinctive flavor, smell, or quality
secrete,hide away or cache; produce and release a substance into an organism
shard,fragment, generally of pottery
skeptic,doubter; person who suspends judgement until having examined the evidence supporting a point of view
solicitous,worried; concerned
soporific,sleep-causing; marked by sleepiness
specious,seemingly reasonable but incorrect; misleading (often intentionally)
spectrum,colored band produced when a beam of light passes through a prism
sporadic,occuring irregularly
stigma,token of disgrace; brand
stint,set limits; be thrifty
stipulate,make excess conditions; specify
stolid,dull; impassive
striated,marked with parallel bands; grooved
strut,pompous walk; supporting bar
subpoena,writ summoning a witness to appear
subside,settle down; descend; grow quiet
substantiate,establish by evidence; verify; support
supersede,cause to be set aside; replace; make obsolete
supposition,hypothesis; surmise
tacit,understood; not put into words
tangential,peripheral; only slightly connected; digressing
tenuous,thin; rare; slim
tirade,extended scolding; denunciation; harangue
torpor,lethargy; sluggishness; dormancy
tortuous,winding; full of curves
tractable,docile; easily managed
transgression,violation of law; sin
truculence,aggressiveness; ferocity
vacillate,waver; fluctuate
viable,practical, workable; capable of maintaining life
viscous,sticky, gluey
vituperative,abusive; scolding
volatile,changeable; explosive; evaporating rapidly
warranted,justified; authorized
wary,very cautious
welter,turmoil; bewildering jumble
whimsical,capricious; fanciful
zealot,fanatic; person who shows excessive zeal
abase,lower; degrade; humiliate
abdicate,renounce; give up
aberration,abnormality; departure from the norm; mental irregularity or disorder
abet,assist, usually in doing something wrong; encourage
abhor,detest; hate
abject,wretched; lacking pride
abjure,renounce upon oath; disavow
abnegation,renunciation; self-sacrifice
abolish,cancel; put an end to
abominable,detestable; extremely unpleasant; very bad
abominate,loathe; hate
aboriginal,being the first of its kind in a region; primitive; native
abortive,unsuccessful; fruitless
abrasive,rubbing away; tending to grind down
abridge,condense and shorten
abscission,removal by cutting off, as in surgery; separation
absolute,complete; totally unlimited; certain
absolve,pardon (an offense)
abstain,refrain; withhold from participation
abstinence,restraint from eating or drinking
abstract,theoretical; not concrete; nonrepresentational
abstruse,obscure; profound; difficult to understand
abusive,coarsely insulting; physically harmful
abut,border upon; adjoin
abyss,enormous chasm; vast, bottomless pit
academic,related to a school; not practical or directly useful
accelerate,move faster
accessible,easy to approach; obtainable
accessory,additional object; useful but not essential thing
acclaim,applaud; announce with great approval
acclimate,adjust to climate or environment; adapt
acclivity,sharp upslope of a hill
accolade,award of merit
accommodate,oblige or help someone; adjust or bring into harmony; adapt
accomplice,partner in crime
accost,approach and speak first to a person
accretion,growth; increase
accrue,come about by addition
acerbic,bitter or sour in nature; sharp and cutting
acerbity,bitterness of speech and temper
acidulous,slightly sour; sharp; caustic
acknowledge,recognize; admit
acme,peak; pinnacle; highest point
acoustics,science of sound; quality that makes a room easy or hard to hear in
acquiesce,assent; agree passively
acquittal,deliverance from a charge
acrid,sharp; bitterly pungent
acrimonious,bitter in words or manner
acrophobia,fear of heights
actuarial,calculating; pertaining to insurance statistics
acumen,mental keenness
acute,quickly perceptive; keen; brief and severe
adage,wise saying; proverb
adamant,hard; inflexible
adapt,alter; modify
addendum,addition; appendix to book
addiction,compulsive, habitual need
addle,muddle; drive crazy; become rotten
address,direct a speech to; deal with or discuss
adhere,stick fast
adherent,supporter; follower
adjacent,adjoining; neighboring; close by
adjunct,something (generally nonessential or inferior) added on or attached
adjuration,solemn urging
adjutant,staff officer assisting the commander; assistant
adulation,flattery; admiration
adventitious,accidental; casual
adversary,opponent; enemy
adverse,unfavorable; hostile
adversity,poverty; misfortune
advert,refer (to)
advocacy,support; active pleading on behalf of someone or something
advocate,urge; plead for
aegis,shield; defense
aerie,nest of a large bird of prey (eagle, hawk)
affable,easily approachable; warmly friendly
affected,artificial; pretended; assumed in order to impress
affidavit,written statement made under oath
affiliation,joining; associating with
affirmation,positive assertion; confirmation; solemn pledge by one who refuses to take an oath
affix,attach or add on; fasten
affliction,state of distress; cause of suffering
affluence,abundance; wealth
affront,insult; offense; intentional act of disrespect
agenda,items of business at a meeting
agglomeration,collection; heap
aggrandize,increase or intensify; raise in power, rank, wealth or honor
aghast,horrified; dumbfounded
agitate,stir up; disturb
agnostic,one who is skeptical of the existence of a god or any ultimate reality
agog,highly excited; intensely curious
agrarian,pertaining to land or its cultivation
alchemy,medieval form of speculative thought that aimed to transform base metals (lead or copper) into silver or gold and to discover a means of prolonging life
alcove,nook; recess
alias,an assumed name
alienate,make hostile; separate
alimentary,supplying nourishment
alimony,payments made to an ex-spouse after divorce
allay,calm; pacify
allege,state without proof
allegory,story in which characters are used as symbols; fable
alliteration,repetition of beginning sound in poetry
alloy,mix; make less pure; lessen or moderate
allude,refer indirectly
allure,entice; attract
allusion,indirect reference
alluvial,pertaining to soil deposits left by running water
aloof,apart; reserved
altercation,noisy quarrel; heated dispute
altruistic,unselfishly generous; concerned for others
amazon,female warrior
ambidextrous,capable of using either hand with equal ease
ambience,environment; atmosphere
amble,moving at an easy pace
ambrosia,food of the gods
ambulatory,able to walk; not bedridden
amenable,readily managed or willing to be led; answerable or accountable legally
amend,correct; change, generally for the better
amenities,convenient features; courtesies
amiable,agreeable; lovable; warmly friendly
amicable,politely friendly; not quarrelsome
amiss,wrong; faulty
amnesia,loss of memory
amorous,moved by sexual love; loving
amorphous,formless; lacking shape or definition
amphibian,able to live both on land and in water
amphitheater,oval building with tiers of seats
amplify,broaden or clarify by expanding; intensify; make stronger
amputate,cut off part of body; prune
amok,in a stage of rage
amulet,charm; talisman
analgesic,causing insensitivity to pain
analogy,similarity; parallelism
anarchist,person who seeks to overturn the established government; advocate of abolishing authority
anathema,solemn curse; someone or something regarded as a curse
ancestry,family descent
anchor,secure or fasten firmly; be fixed in place
ancillary,serving as an aid or accessory; auxiliary
anecdote,short account of an amusing or interesting event
anemia,condition in which blood lacks red corpuscles
anesthetic,substance that removes sensation with or without loss of consciousness
anguish,acute pain; extreme suffering
angular,sharp-connected; stiff in manner
animadversion,critical remark
animated,lively; spirited
animosity,active enmity
animus,hostile feeling or intent
annals,records; history
anneal,reduce brittleness and improve toughness by heating and cooling
annex,attach; take possession of
annotate,comment; make explanatory notes
annuity,yearly allowance
annul,make void
anodyne,drug that relieves pain; opiate
anonymity,state of  being nameless; anonymousness
antagonism,hostility; active resistance
antecedents,preceding events of circumstances that influence what comes later; ancestors or early background
antediluvian,antiquated; extremely ancient
anthem,song of praise or patriotism
anthology,book of literary selections by various authors
anthropologist,student of the history and science of humankind
anthropomorphic,having human form of characteristics
antic,extravagantly odd
anticlimax,letdown in thought or emotion
antidote,remedy to counteract a poison or disease
antiquated,obsolete; outdated
antiseptic,substance that prevents infection
antithesis,contrast; directly opposite of or to
anvil,iron block used in hammering out metals
ape,imitate or mimic
aperture,opening; hole
apex,tip; summit; climax
aphasia,loss of speech due to injury or illness
aphorism,pithy maxim or saying
apiary,a place where bees are kept
aplomb,poise; assurance
apocalyptic,prophetic; pertaining to revelations
apocryphal,spurious; not authentic; invented rather than true
apogee,highest point
apolitical,having an aversion or lack of concern for political affairs
apologist,one who write in defense of a cause or institution
apostate,one who abandons his religious faith or political beliefs
apothegm,pithy, compact saying
apotheosis,elevation to godhood; an ideal example of something
appall,dismay; shock
apparition,ghost; phantom
appellation,name; title
application,diligent attention
apposite,appropriate; fitting
appraise,estimate value of
appreciate,be thankful for; increase in worth; be thoroughly conscious of
apprehend,arrest (a criminal); dread; perceive
apprehensive,fearful; discerning
appurtenances,subordinate possessions
apropos,with reference to; regarding
aptitude,fitness; talent
aquiline,curved, hooked
arable,fit for growing crops
arbiter,person with power to decide a matter in dispute; judge
arbitrary,unreasonable or capricious; tyrannical
arbitrate,act as judge
arboretum,place where different varieties of trees and shrubs are studied and exhibited
arcade,a covered passageway, usually lined with shops
arcane,secret; mysterious; known only to the initiated
archaeology,study of artifacts and relics of early mankind
archetype,prototype; primitive pattern
archipelago,group of closely located islands
archives,public records; place where public records are kept
ardor,heat; passion; zeal
aria,operatic solo
arid,dry; barren
aristocracy,hereditary nobility; privileged class
armada,fleet of warships
arraign,charge in court; indict
array,marshal; draw up in order; clothe; adorn
arrears,being in debt
arrhythmic,lacking rhythm or regularity
arrogance,pride; haughtiness
arsenal,storage place for military equipment
articulate,effective; distinct
artifact,object made by human beings, either handmade or mass-produced
artifice,deception; trickery
artisan,a manually skilled worker
ascendancy,controlling influence
ascertain,find out for certain
ascribe,refer; attribute; assign
aseptic,preventing infection; having a cleansing effect
ashen,ash-colored; deadly pale
askance,with a sideways or indirect look
askew,crookedly; slanted; at an angle
asperity,sharpness (of temper)
aspersion,slanderous remark
aspirant,seeker after position or status
aspire,seek to attain; long for
assay,analyze; evaluate
assent,agree; accept
assert,state strongly or positively; insist on or demand recognition of (rights, claims, etc.)
assessment,estimation; appraisal
assimilate,absorb; cause to become homogenous
assumption,something taken for granted; the taking over or taking possession of
assurance,promise or pledge; certainty; self-confidence
asteroid,small planet
astigmatism,eye defect that prevents proper focus
astral,relating to the stars
astringent,binding; causing contraction; harsh or severe
astronomical,enormously large or extensive
astute,wise; shrewd; keen
asunder,into parts; apart
asylum,place of refuge or shelter; protection
asymmetric,not identical on both sides of a dividing central line
atavism,resemblance to remote ancestors rather than to parents; reversion to an earlier type; throwback
atheistic,denying the existence of God
atone,make amends for; pay for
atrocity,brutal deed
atrophy,wasting away
attentive,alert and watchful; considerate; thoughtful
attest,testify; bear witness
attribute,ascribe; explain
attrition,gradual decrease in numbers; reduction in the work force without firing employees; wearing away of opposition by means of harassment
atypical,not normal
audit,examination of accounts
augment,increase; add to
augury,omen; prophecy
august,impressive; majestic
aureole,sun's corona; halo
auroral,pertaining to the aurora borealis
auspicious,favoring success
authenticate,prove genuine
authoritarian,subordinating the individual to the state; completely dominating another's will
authoritative,having the weight of authority; peremptory and dictatorial
autocratic,having absolute, unchecked power; dictatorial
automaton,mechanism that imitates actions of humans
autopsy,examination of a dead body; postmortem
auxiliary,offering or providing help; additional or subsidiary
avalanche,great mass of falling snow and ice
avarice,greediness for wealth
avenge,take vengeance for something (or on behalf of someone)
averse,reluctant; disinclined
aversion,firm dislike
avert,prevent; turn away
aviary,enclosure for birds
avid,greedy; eager
avocation,secondary or minor occupation
avow,declare openly
avuncular,like an uncle
awe,solemn wonder
awl,pointed tool used for piercing
awry,distorted; crooked
axiom,self-evident truth requiring no proof
azure,sky blue
babble,chatter idly
badger,pester; annoy
badinage,teasing conversation
baffle,frustrate; perplex
bait,harass; tease
baleful,deadly; having a malign influence; ominous
balk,stop short, as if faced with an obstacle, and refuse to continue; foil
ballast,heavy substance used to add stability or weight
balm,something that relieves pain
balmy,mild; fragrant
bandy,discuss lightly or glibly; exchange (words) heatedly
bane,cause of ruin; curse
bantering,good-naturedly ridiculing
barb,sharp projection from fishhook or other object; openly cutting remark
barefaced,shameless; bold; unconcealed
baroque,highly ornate
barrage,barrier laid down by artillery fire; overwhelming profusion
barrister,counselor-at-law
bask,luxuriate; take pleasure in warmth
bastion,stronghold; something seen as a source of protection
bate,let down; restrain
bauble,trinket; trifle
bawdy,indecent; obscene
beatific,giving bliss; blissful
beatitude,blessedness; state of bliss
